x/m y/m t/s
0.6056 5.2191 0.02
0.6061 5.2175 0.04
0.6071 5.2149 0.06
0.6084 5.2112 0.08
0.61 5.2064 0.1
0.612 5.2006 0.12
0.6144 5.1937 0.14
0.6172 5.1858 0.16
0.6203 5.1768 0.18
0.6238 5.1667 0.2
0.6277 5.1556 0.22
0.6319 5.1435 0.24
0.6365 5.1302 0.26
0.6415 5.1159 0.28
0.6468 5.1006 0.3
0.6525 5.0842 0.32
0.6586 5.0668 0.34
0.665 5.0482 0.36
0.6718 5.0287 0.38
0.679 5.0081 0.4
0.6866 4.9864 0.42
0.6945 4.9636 0.44
0.7027 4.9398 0.46
0.7114 4.915 0.48
0.7204 4.889 0.5
0.7298 4.8621 0.52
0.7395 4.834 0.54
0.7497 4.8049 0.56
0.7601 4.7748 0.58
0.771 4.7436 0.6
0.7822 4.7113 0.62
0.7938 4.678 0.64
0.8058 4.6436 0.66
0.8181 4.6082 0.68
0.8308 4.5717 0.7
0.8439 4.5341 0.72
0.8573 4.4955 0.74
0.8711 4.4559 0.76
0.8853 4.4151 0.78
0.8998 4.3734 0.8
0.9147 4.3305 0.82
0.93 4.2866 0.84
0.9456 4.2417 0.86
0.9616 4.1956 0.88
0.978 4.1486 0.9
0.9947 4.1004 0.92
1.0118 4.0512 0.94
1.0293 4.001 0.96
1.0472 3.9497 0.98
1.0654 3.8973 1.0
1.0838 3.8444 1.02
1.1022 3.7916 1.04
1.1206 3.7387 1.06
1.139 3.6858 1.08
1.1574 3.6329 1.1
1.1758 3.58 1.12
1.1942 3.5271 1.14
1.2126 3.4742 1.16
1.231 3.4213 1.18
1.2494 3.3684 1.2
1.2678 3.3155 1.22
1.2862 3.2626 1.24
1.3046 3.2097 1.26
1.323 3.1569 1.28
1.3414 3.104 1.3
1.3598 3.0511 1.32
1.3781 2.9982 1.34
1.3965 2.9453 1.36
1.4149 2.8924 1.38
1.4333 2.8395 1.4
1.4517 2.7866 1.42
1.4701 2.7337 1.44
1.4885 2.6808 1.46
1.5069 2.6279 1.48
1.5253 2.575 1.5
1.5437 2.5222 1.52
1.5621 2.4693 1.54
1.5805 2.4164 1.56
1.5989 2.3635 1.58
1.6173 2.3106 1.6
1.6357 2.2577 1.62
1.6541 2.2048 1.64
1.6725 2.1519 1.66
1.6909 2.099 1.68
1.7093 2.0461 1.7
1.7277 1.9932 1.72
1.7461 1.9404 1.74
1.7645 1.8875 1.76
1.7829 1.8346 1.78
1.8013 1.7817 1.8
1.8197 1.7288 1.82
1.8381 1.6759 1.84
1.8565 1.623 1.86
1.8749 1.5701 1.88
1.8933 1.5172 1.9
1.9117 1.4643 1.92
1.9301 1.4114 1.94
1.9485 1.3585 1.96
1.9669 1.3057 1.98
